date,value
2007-01-01,0.194
2007-01-02,0.193
2007-01-03,0.191
2007-01-04,0.19
2007-01-05,0.189
2007-01-06,0.188
2007-01-07,0.186
2007-01-08,0.185
2007-01-09,0.184
2007-01-10,0.183
2007-01-11,0.181
2007-01-12,0.18
2007-01-13,0.179
2007-01-14,0.167666667
2007-01-15,0.147
2007-01-16,0.146
2007-01-17,0.154666667
2007-01-18,0.173
2007-01-19,0.172
2007-01-20,0.171
2007-01-21,0.178666667
2007-01-22,0.197
2007-01-23,0.204
2007-01-24,0.303461538
2007-01-25,0.411571429
2007-01-26,0.3354
2007-01-27,0.28225
2007-01-28,0.245
2007-01-29,0.206
2007-01-30,0.186
2007-01-31,0.185
2007-02-01,0.188
2007-02-02,0.183
2007-02-03,0.185666667
2007-02-04,0.198
2007-02-05,0.202
2007-02-06,0.205
2007-02-07,0.2405
2007-02-08,0.339375
2007-02-09,0.333666667
2007-02-10,0.305333333
2007-02-11,0.287
2007-02-12,0.292
2007-02-13,0.728931034
2007-02-14,0.917541667
2007-02-15,0.599857143
2007-02-16,0.4984
2007-02-17,0.45
2007-02-18,0.419
2007-02-19,0.398
2007-02-20,0.403
2007-02-21,0.396
2007-02-22,0.375
2007-02-23,0.379
2007-02-24,0.371
2007-02-25,0.348
2007-02-26,0.689875
2007-02-27,1.00275
2007-02-28,0.7628
2007-03-01,0.6674
2007-03-02,0.605
2007-03-03,0.557333333
2007-03-04,0.512
2007-03-05,0.472
2007-03-06,0.445
2007-03-07,0.447
2007-03-08,0.449
2007-03-09,0.789291667
2007-03-10,0.820090909
2007-03-11,0.635551724
2007-03-12,0.551814815
2007-03-13,0.514192308
2007-03-14,0.496222222
2007-03-15,0.46056
2007-03-16,0.46236
2007-03-17,0.464
2007-03-18,0.46556
2007-03-19,0.572324324
2007-03-20,3.266688525
2007-03-21,6.159310345
2007-03-22,2.963461538
2007-03-23,2.520943396
2007-03-24,9.11640625
2007-03-25,6.257076923
2007-03-26,2.400169492
2007-03-27,1.573714286
2007-03-28,1.240344828
2007-03-29,1.023484848
2007-03-30,0.91437931
2007-03-31,0.824310345
2007-04-01,0.756615385
2007-04-02,0.687740741
2007-04-03,0.68248
2007-04-04,0.646148148
2007-04-05,0.596296296
2007-04-06,0.55662963
2007-04-07,0.437
2007-04-08,0.433
2007-04-09,0.429
2007-04-10,0.398666667
2007-04-11,0.381
2007-04-12,0.363666667
2007-04-13,0.335
2007-04-14,0.332
2007-04-15,0.328
2007-04-16,0.325
2007-04-17,0.322
2007-04-18,0.3
2007-04-19,0.278
2007-04-20,0.276
2007-04-21,0.273
2007-04-22,0.27
2007-04-23,0.255333333
2007-04-24,0.231
2007-04-25,0.229
2007-04-26,0.225
2007-04-27,0.222
2007-04-28,0.219
2007-04-29,0.204
2007-04-30,0.191333333
2007-05-01,0.218333333
2007-05-02,0.214333333
2007-05-03,0.1735
2007-05-04,0.178
2007-05-05,0.216
2007-05-06,0.237
2007-05-07,0.215
2007-05-08,0.193666667
